Waktu,Tanggal,Jam,Latar Tempat,Objek Terdeteksi,Ekspresi,Kelamin,Keterangan,Foto
2025-11-06 18:39:18,2025-11-06,18:39:18,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,person_1_20251106_183918.jpg
2025-11-06 18:39:18,2025-11-06,18:39:18,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,person_2_20251106_183918.jpg
2025-11-06 18:39:26,2025-11-06,18:39:26,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 3,person_3_20251106_183926.jpg
2025-11-07 08:52:57,2025-11-07,08:52:57,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_085257.jpg
2025-11-07 08:53:03,2025-11-07,08:53:03,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_085303.jpg
2025-11-07 08:53:11,2025-11-07,08:53:11,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_085311.jpg
2025-11-07 08:53:21,2025-11-07,08:53:21,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_085321.jpg
2025-11-07 08:53:27,2025-11-07,08:53:27,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_085327.jpg
2025-11-07 08:53:33,2025-11-07,08:53:33,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_085333.jpg
2025-11-07 08:53:39,2025-11-07,08:53:39,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 3,faces\person_3\person_3_20251107_085339.jpg
2025-11-07 08:53:44,2025-11-07,08:53:44,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_085344.jpg
2025-11-07 08:53:53,2025-11-07,08:53:53,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_085353.jpg
2025-11-07 08:53:59,2025-11-07,08:53:59,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_085359.jpg
2025-11-07 08:54:05,2025-11-07,08:54:05,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_085405.jpg
2025-11-07 08:54:12,2025-11-07,08:54:12,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_085412.jpg
2025-11-07 08:54:22,2025-11-07,08:54:22,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_085422.jpg
2025-11-07 08:54:27,2025-11-07,08:54:27,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_085427.jpg
2025-11-07 08:54:32,2025-11-07,08:54:32,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_085432.jpg
2025-11-07 08:54:41,2025-11-07,08:54:41,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_085441.jpg
2025-11-07 08:54:51,2025-11-07,08:54:51,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_085451.jpg
2025-11-07 08:54:56,2025-11-07,08:54:56,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_085456.jpg
2025-11-07 08:55:02,2025-11-07,08:55:02,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_085502.jpg
2025-11-07 08:55:10,2025-11-07,08:55:10,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_085510.jpg
2025-11-07 08:55:16,2025-11-07,08:55:16,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_085516.jpg
2025-11-07 08:55:21,2025-11-07,08:55:21,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_085521.jpg
2025-11-07 08:55:27,2025-11-07,08:55:27,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_085527.jpg
2025-11-07 08:55:32,2025-11-07,08:55:32,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_085532.jpg
2025-11-07 08:55:37,2025-11-07,08:55:37,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 3,faces\person_3\person_3_20251107_085537.jpg
2025-11-07 08:55:42,2025-11-07,08:55:42,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 3,faces\person_3\person_3_20251107_085542.jpg
2025-11-07 08:55:48,2025-11-07,08:55:48,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 3,faces\person_3\person_3_20251107_085548.jpg
2025-11-07 08:55:53,2025-11-07,08:55:53,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_085553.jpg
2025-11-07 08:56:54,2025-11-07,08:56:54,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_085654.jpg
2025-11-07 08:57:00,2025-11-07,08:57:00,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_085700.jpg
2025-11-07 08:57:06,2025-11-07,08:57:06,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_085706.jpg
2025-11-07 08:57:12,2025-11-07,08:57:12,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_085712.jpg
2025-11-07 08:57:14,2025-11-07,08:57:14,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_085714.jpg
2025-11-07 08:57:18,2025-11-07,08:57:18,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_085718.jpg
2025-11-07 08:57:21,2025-11-07,08:57:21,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 4,faces\person_4\person_4_20251107_085721.jpg
2025-11-07 08:57:21,2025-11-07,08:57:21,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_085721.jpg
2025-11-07 08:57:25,2025-11-07,08:57:25,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 5,faces\person_5\person_5_20251107_085725.jpg
2025-11-07 08:57:30,2025-11-07,08:57:30,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 3,faces\person_3\person_3_20251107_085730.jpg
2025-11-07 08:58:35,2025-11-07,08:58:35,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_085835.jpg
2025-11-07 08:58:40,2025-11-07,08:58:40,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_085840.jpg
2025-11-07 08:58:46,2025-11-07,08:58:46,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_085846.jpg
2025-11-07 08:58:51,2025-11-07,08:58:51,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_085851.jpg
2025-11-07 08:58:53,2025-11-07,08:58:53,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 6,faces\person_6\person_6_20251107_085853.jpg
2025-11-07 08:58:59,2025-11-07,08:58:59,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_085859.jpg
2025-11-07 08:59:01,2025-11-07,08:59:01,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 7,faces\person_7\person_7_20251107_085901.jpg
2025-11-07 08:59:18,2025-11-07,08:59:18,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_085918.jpg
2025-11-07 08:59:23,2025-11-07,08:59:23,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_085923.jpg
2025-11-07 08:59:25,2025-11-07,08:59:25,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_085925.jpg
2025-11-07 08:59:31,2025-11-07,08:59:31,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_085931.jpg
2025-11-07 08:59:38,2025-11-07,08:59:38,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_085938.jpg
2025-11-07 08:59:42,2025-11-07,08:59:42,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_085942.jpg
2025-11-07 08:59:44,2025-11-07,08:59:44,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_085944.jpg
2025-11-07 08:59:48,2025-11-07,08:59:48,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_085948.jpg
2025-11-07 08:59:54,2025-11-07,08:59:54,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_085954.jpg
2025-11-07 08:59:59,2025-11-07,08:59:59,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_085959.jpg
2025-11-07 09:00:06,2025-11-07,09:00:06,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_090006.jpg
2025-11-07 09:00:14,2025-11-07,09:00:14,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_090014.jpg
2025-11-07 09:00:25,2025-11-07,09:00:25,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 3,faces\person_3\person_3_20251107_090025.jpg
2025-11-07 09:00:27,2025-11-07,09:00:27,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_090027.jpg
2025-11-07 09:00:31,2025-11-07,09:00:31,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_090031.jpg
2025-11-07 09:00:37,2025-11-07,09:00:37,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 8,faces\person_8\person_8_20251107_090037.jpg
2025-11-07 09:00:37,2025-11-07,09:00:37,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 4,faces\person_4\person_4_20251107_090037.jpg
2025-11-07 09:00:37,2025-11-07,09:00:37,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_090037.jpg
2025-11-07 09:00:43,2025-11-07,09:00:43,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_090043.jpg
2025-11-07 09:00:49,2025-11-07,09:00:49,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_090049.jpg
2025-11-07 09:00:51,2025-11-07,09:00:51,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 4,faces\person_4\person_4_20251107_090051.jpg
2025-11-07 09:00:53,2025-11-07,09:00:53,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 3,faces\person_3\person_3_20251107_090053.jpg
2025-11-07 09:00:56,2025-11-07,09:00:56,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 9,faces\person_9\person_9_20251107_090056.jpg
2025-11-07 09:00:58,2025-11-07,09:00:58,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_090058.jpg
2025-11-07 09:01:03,2025-11-07,09:01:03,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_090103.jpg
2025-11-07 09:01:04,2025-11-07,09:01:04,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_090104.jpg
2025-11-07 09:01:06,2025-11-07,09:01:06,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 10,faces\person_10\person_10_20251107_090106.jpg
2025-11-07 09:01:07,2025-11-07,09:01:07,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 3,faces\person_3\person_3_20251107_090107.jpg
2025-11-07 09:01:09,2025-11-07,09:01:09,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_090109.jpg
2025-11-07 09:01:14,2025-11-07,09:01:14,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_090114.jpg
2025-11-07 09:01:20,2025-11-07,09:01:20,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_090120.jpg
2025-11-07 09:01:39,2025-11-07,09:01:39,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 11,faces\person_11\person_11_20251107_090139.jpg
2025-11-07 09:01:59,2025-11-07,09:01:59,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_090159.jpg
2025-11-07 09:02:01,2025-11-07,09:02:01,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_090201.jpg
2025-11-07 09:02:01,2025-11-07,09:02:01,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 12,faces\person_12\person_12_20251107_090201.jpg
2025-11-07 09:15:32,2025-11-07,09:15:32,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 13,faces\person_13\person_13_20251107_091532.jpg
2025-11-07 09:15:34,2025-11-07,09:15:34,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_091534.jpg
2025-11-07 09:15:43,2025-11-07,09:15:43,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 14,faces\person_14\person_14_20251107_091543.jpg
2025-11-07 09:15:45,2025-11-07,09:15:45,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_091545.jpg
2025-11-07 09:16:47,2025-11-07,09:16:47,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 13,faces\person_13\person_13_20251107_091647.jpg
2025-11-07 09:16:49,2025-11-07,09:16:49,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 14,faces\person_14\person_14_20251107_091649.jpg
2025-11-07 09:16:52,2025-11-07,09:16:52,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 6,faces\person_6\person_6_20251107_091652.jpg
2025-11-07 09:16:52,2025-11-07,09:16:52,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 12,faces\person_12\person_12_20251107_091652.jpg
2025-11-07 09:24:13,2025-11-07,09:24:13,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 13,faces\person_13\person_13_20251107_092413.jpg
2025-11-07 09:24:15,2025-11-07,09:24:15,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 6,faces\person_6\person_6_20251107_092415.jpg
2025-11-07 09:24:20,2025-11-07,09:24:20,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_092420.jpg
2025-11-07 09:24:20,2025-11-07,09:24:20,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 12,faces\person_12\person_12_20251107_092420.jpg
2025-11-07 09:24:22,2025-11-07,09:24:22,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 15,faces\person_15\person_15_20251107_092422.jpg
2025-11-07 09:24:24,2025-11-07,09:24:24,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 6,faces\person_6\person_6_20251107_092424.jpg
2025-11-07 09:45:01,2025-11-07,09:45:01,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 16,faces\person_16\person_16_20251107_094501.jpg
2025-11-07 09:48:25,2025-11-07,09:48:25,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 14,faces\person_14\person_14_20251107_094825.jpg
2025-11-07 09:53:31,2025-11-07,09:53:31,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 11,faces\person_11\person_11_20251107_095331.jpg
2025-11-07 09:53:33,2025-11-07,09:53:33,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 17,faces\person_17\person_17_20251107_095333.jpg
2025-11-07 10:05:16,2025-11-07,10:05:16,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 14,faces\person_14\person_14_20251107_100516.jpg
2025-11-07 10:05:18,2025-11-07,10:05:18,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 6,faces\person_6\person_6_20251107_100518.jpg
2025-11-07 10:05:27,2025-11-07,10:05:27,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 18,faces\person_18\person_18_20251107_100527.jpg
2025-11-07 10:05:29,2025-11-07,10:05:29,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_100529.jpg
2025-11-07 10:05:36,2025-11-07,10:05:36,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_100536.jpg
2025-11-07 10:05:42,2025-11-07,10:05:42,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_100542.jpg
2025-11-07 10:05:49,2025-11-07,10:05:49,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_100549.jpg
2025-11-07 10:05:51,2025-11-07,10:05:51,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_100551.jpg
2025-11-07 10:05:57,2025-11-07,10:05:57,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_100557.jpg
2025-11-07 10:05:59,2025-11-07,10:05:59,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_100559.jpg
2025-11-07 10:06:05,2025-11-07,10:06:05,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_100605.jpg
2025-11-07 10:06:12,2025-11-07,10:06:12,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_100612.jpg
2025-11-07 10:06:20,2025-11-07,10:06:20,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 6,faces\person_6\person_6_20251107_100620.jpg
2025-11-07 10:06:22,2025-11-07,10:06:22,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_100622.jpg
2025-11-07 10:06:25,2025-11-07,10:06:25,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_100625.jpg
2025-11-07 10:06:30,2025-11-07,10:06:30,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_100630.jpg
2025-11-07 10:06:36,2025-11-07,10:06:36,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_100636.jpg
2025-11-07 10:06:41,2025-11-07,10:06:41,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_100641.jpg
2025-11-07 10:06:43,2025-11-07,10:06:43,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_100643.jpg
2025-11-07 10:06:49,2025-11-07,10:06:49,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_100649.jpg
2025-11-07 10:06:55,2025-11-07,10:06:55,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_100655.jpg
2025-11-07 10:07:01,2025-11-07,10:07:01,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_100701.jpg
2025-11-07 10:07:07,2025-11-07,10:07:07,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_100707.jpg
2025-11-07 10:07:09,2025-11-07,10:07:09,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_100709.jpg
2025-11-07 10:07:14,2025-11-07,10:07:14,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_100714.jpg
2025-11-07 10:07:20,2025-11-07,10:07:20,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_100720.jpg
2025-11-07 10:07:27,2025-11-07,10:07:27,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_100727.jpg
2025-11-07 10:07:33,2025-11-07,10:07:33,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_100733.jpg
2025-11-07 10:07:38,2025-11-07,10:07:38,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_100738.jpg
2025-11-07 10:07:42,2025-11-07,10:07:42,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 3,faces\person_3\person_3_20251107_100742.jpg
2025-11-07 10:07:44,2025-11-07,10:07:44,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_100744.jpg
2025-11-07 10:07:50,2025-11-07,10:07:50,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_100750.jpg
2025-11-07 10:07:58,2025-11-07,10:07:58,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_100758.jpg
2025-11-07 10:08:03,2025-11-07,10:08:03,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_100803.jpg
2025-11-07 10:08:10,2025-11-07,10:08:10,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_100810.jpg
2025-11-07 10:08:15,2025-11-07,10:08:15,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_100815.jpg
2025-11-07 10:08:21,2025-11-07,10:08:21,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_100821.jpg
2025-11-07 10:08:28,2025-11-07,10:08:28,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_100828.jpg
2025-11-07 10:08:35,2025-11-07,10:08:35,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_100835.jpg
2025-11-07 10:08:41,2025-11-07,10:08:41,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_100841.jpg
2025-11-07 10:08:47,2025-11-07,10:08:47,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_100847.jpg
2025-11-07 10:08:53,2025-11-07,10:08:53,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_100853.jpg
